rooms,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities,area_numeric,price_numeric
5.5,2,1,7,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,1,1,1,1,3,1,20,150.0,5950
5.5,2,1,7,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,1,1,1,1,3,1,20,150.0,5950
5.5,2,1,7,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,1,1,1,1,3,1,20,150.0,5950
5.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,3,1,7,150.0,5950
5.5,0,0,5,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,0,0,14,150.0,5950
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,1,4,150.0,5950
5.5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,150.0,5950
5.5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,150.0,5950
4.0,2,1,4,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,11,81.0,2280
4.0,1,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,4,1,16,81.0,2280
4.0,1,1,4,1,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,13,81.0,2280
4.0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,9,81.0,2280
4.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,9,81.0,2280
4.0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,1,13,81.0,2280
4.0,4,1,4,1,1,1,0,0,3,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1,0,0,0,0,17,81.0,2280
4.0,4,1,30,1,6,1,4,1,7,1,1,1,0,0,2,1,0,0,0,0,3,1,0,0,4,1,0,0,0,0,61,81.0,2280
